i,x,y,z
0,0.000000,0.000000,0.000000
1,0.327195,0.247404,0.198669
2,0.618370,0.479426,0.389418
3,0.841471,0.681639,0.564642
4,0.971938,0.841471,0.717356
5,0.995408,0.948985,0.841471
6,0.909297,0.997495,0.932039
7,0.723086,0.983986,0.985450
8,0.457273,0.909297,0.999574
9,0.141120,0.778073,0.973848
10,-0.190568,0.598472,0.909297
11,-0.501277,0.381661,0.808496
12,-0.756802,0.141120,0.675463
13,-0.929015,-0.108195,0.515501
14,-0.998955,-0.350783,0.334988
15,-0.958924,-0.571561,0.141120
16,-0.813329,-0.756802,-0.058374
17,-0.578198,-0.894989,-0.255541
18,-0.279415,-0.977530,-0.442520
19,0.050127,-0.999293,-0.611858
20,0.374151,-0.958924,-0.756802
21,0.656987,-0.858934,-0.871576
22,0.867497,-0.705540,-0.951602
23,0.982508,-0.508279,-0.993691
24,0.989358,-0.279415,-0.996165
25,0.887294,-0.033179,-0.958924
26,0.687551,0.215120,-0.883455
27,0.412118,0.450044,-0.772764
28,0.091317,0.656987,-0.631267
29,-0.239537,0.823081,-0.464602
30,-0.544021,0.938000,-0.279415
31,-0.788616,0.994599,-0.083089
32,-0.946396,0.989358,0.116549
33,-0.999990,0.922604,0.311541
34,-0.943500,0.798487,0.494113
35,-0.783143,0.624724,0.656987
36,-0.536573,0.412118,0.793668
37,-0.230934,0.173889,0.898708
38,0.100128,-0.075151,0.967920
39,0.420167,-0.319519,0.998543
40,0.693952,-0.544021,0.989358
41,0.891342,-0.734698,0.940731
42,0.990607,-0.879696,0.854599
43,0.980821,-0.969998,0.734397
44,0.863060,-0.999990,0.584917
45,0.650288,-0.967808,0.412118
46,0.365928,-0.875452,0.222890
47,0.041285,-0.728665,0.024775
48,-0.287903,-0.536573,-0.174327
49,-0.585397,-0.311119,-0.366479
50,-0.818447,-0.066322,-0.544021
51,-0.961397,0.182599,-0.699875
52,-0.998511,0.420167,-0.827826
53,-0.925703,0.631611,-0.922775
54,-0.750987,0.803784,-0.980936
55,-0.493598,0.925982,-0.999990
56,-0.181871,0.990607,-0.979178
57,0.149877,0.993641,-0.919329
58,0.465126,0.934895,-0.822829
59,0.729172,0.818022,-0.693525
60,0.912945,0.650288,-0.536573
61,0.996216,0.442122,-0.358229
62,0.969818,0.206467,-0.165604
63,0.836656,-0.042024,0.033623
64,0.611389,-0.287903,0.231510
65,0.318818,-0.515882,0.420167
66,-0.008851,-0.711785,0.592074
67,-0.335546,-0.863433,0.740376
68,-0.625302,-0.961397,0.859162
69,-0.846220,-0.999586,0.943696
70,-0.973982,-0.975626,0.990607
71,-0.994522,-0.891006,0.998027
72,-0.905578,-0.750987,0.965658
73,-0.716943,-0.564276,0.894791
74,-0.449383,-0.342481,0.788252
75,-0.132352,-0.099392,0.650288
76,0.199250,0.149877,0.486399
77,0.508916,0.389827,0.303118
78,0.762558,0.605540,0.107754
79,0.932253,0.783603,-0.091907
80,0.999320,0.912945,-0.287903
81,0.956376,0.985525,-0.472422
82,0.808148,0.996830,-0.638107
83,0.570954,0.946156,-0.778352
84,0.270906,0.836656,-0.887567
85,-0.058965,0.675136,-0.961397
86,-0.382345,0.471639,-0.996900
87,-0.663634,0.238818,-0.992659
88,-0.871866,-0.008851,-0.948844
89,-0.984118,-0.255970,-0.867202
90,-0.988032,-0.487175,-0.750987
91,-0.883177,-0.688088,-0.604833
92,-0.681097,-0.846220,-0.434566
93,-0.404038,-0.951738,-0.246974
94,-0.082499,-0.998082,-0.049536
95,0.248121,-0.982370,0.149877
96,0.551427,-0.905578,0.343315
97,0.794028,-0.772483,0.523066
98,0.949218,-0.591358,0.681964
99,0.999912,-0.373465,0.813674
100,0.940530,-0.132352,0.912945
101,0.777608,0.116990,0.975821
102,0.529083,0.359058,0.999793
103,0.222313,0.578802,0.983907
104,-0.108931,0.762558,0.928795
105,-0.428183,0.898903,0.836656
106,-0.700297,0.979358,0.711161
107,-0.895319,0.998921,0.557315
108,-0.991779,0.956376,0.381250
109,-0.979057,0.854368,0.189987
110,-0.858555,0.699240,-0.008851
111,-0.643538,0.500636,-0.207336
112,-0.357676,0.270906,-0.397556
113,-0.032439,0.024331,-0.571926
114,0.296369,-0.223756,-0.723495
115,0.592551,-0.457931,-0.846220
