i;x;y;z
0;0.000000;0.000000;0.000000
1;0.005818;0.004363;0.003491
2;0.011635;0.008727;0.006981
3;0.017452;0.013090;0.010472
4;0.023269;0.017452;0.013962
5;0.029085;0.021815;0.017452
6;0.034899;0.026177;0.020942
7;0.040713;0.030539;0.024432
8;0.046525;0.034899;0.027922
9;0.052336;0.039260;0.031411
10;0.058145;0.043619;0.034899
11;0.063952;0.047978;0.038388
12;0.069756;0.052336;0.041876
13;0.075559;0.056693;0.045363
14;0.081359;0.061049;0.048850
15;0.087156;0.065403;0.052336
16;0.092950;0.069756;0.055822
17;0.098741;0.074108;0.059306
18;0.104528;0.078459;0.062791
19;0.110313;0.082808;0.066274
20;0.116093;0.087156;0.069756
21;0.121869;0.091502;0.073238
22;0.127642;0.095846;0.076719
23;0.133410;0.100188;0.080199
24;0.139173;0.104528;0.083678
25;0.144932;0.108867;0.087156
26;0.150686;0.113203;0.090633
27;0.156434;0.117537;0.094108
28;0.162178;0.121869;0.097583
29;0.167916;0.126199;0.101056
30;0.173648;0.130526;0.104528
31;0.179375;0.134851;0.107999
32;0.185095;0.139173;0.111469
33;0.190809;0.143493;0.114937
34;0.196517;0.147809;0.118404
35;0.202218;0.152123;0.121869
36;0.207912;0.156434;0.125333
37;0.213599;0.160743;0.128796
38;0.219279;0.165048;0.132256
39;0.224951;0.169350;0.135716
40;0.230616;0.173648;0.139173
41;0.236273;0.177944;0.142629
42;0.241922;0.182236;0.146083
43;0.247563;0.186524;0.149535
44;0.253195;0.190809;0.152986
45;0.258819;0.195090;0.156434
46;0.264434;0.199368;0.159881
47;0.270040;0.203642;0.163326
48;0.275637;0.207912;0.166769
49;0.281225;0.212178;0.170209
50;0.286803;0.216440;0.173648
51;0.292372;0.220697;0.177085
52;0.297930;0.224951;0.180519
53;0.303479;0.229200;0.183951
54;0.309017;0.233445;0.187381
55;0.314545;0.237686;0.190809
56;0.320062;0.241922;0.194234
57;0.325568;0.246153;0.197657
58;0.331063;0.250380;0.201078
59;0.336547;0.254602;0.204496
60;0.342020;0.258819;0.207912
61;0.347481;0.263031;0.211325
62;0.352931;0.267238;0.214735
63;0.358368;0.271440;0.218143
64;0.363793;0.275637;0.221548
65;0.369206;0.279829;0.224951
66;0.374607;0.284015;0.228351
67;0.379994;0.288196;0.231748
68;0.385369;0.292372;0.235142
69;0.390731;0.296542;0.238533
70;0.396080;0.300706;0.241922
71;0.401415;0.304864;0.245307
72;0.406737;0.309017;0.248690
73;0.412045;0.313164;0.252069
74;0.417338;0.317305;0.255446
75;0.422618;0.321439;0.258819
76;0.427884;0.325568;0.262189
77;0.433135;0.329691;0.265556
78;0.438371;0.333807;0.268920
79;0.443593;0.337917;0.272280
80;0.448799;0.342020;0.275637
81;0.453990;0.346117;0.278991
82;0.459166;0.350207;0.282341
83;0.464327;0.354291;0.285688
84;0.469472;0.358368;0.289032
85;0.474600;0.362438;0.292372
86;0.479713;0.366501;0.295708
87;0.484810;0.370557;0.299041
88;0.489890;0.374607;0.302370
89;0.494953;0.378649;0.305695
90;0.500000;0.382683;0.309017
91;0.505030;0.386711;0.312335
92;0.510043;0.390731;0.315649
93;0.515038;0.394744;0.318959
94;0.520016;0.398749;0.322266
95;0.524977;0.402747;0.325568
96;0.529919;0.406737;0.328867
97;0.534844;0.410719;0.332161
98;0.539751;0.414693;0.335452
99;0.544639;0.418660;0.338738
100;0.549509;0.422618;0.342020
101;0.554360;0.426569;0.345298
102;0.559193;0.430511;0.348572
103;0.564007;0.434445;0.351842
104;0.568801;0.438371;0.355107
105;0.573576;0.442289;0.358368
106;0.578332;0.446198;0.361625
107;0.583069;0.450098;0.364877
108;0.587785;0.453990;0.368125
109;0.592482;0.457874;0.371368
110;0.597159;0.461749;0.374607
111;0.601815;0.465615;0.377841
112;0.606451;0.469472;0.381070
113;0.611067;0.473320;0.384295
114;0.615661;0.477159;0.387516
115;0.620235;0.480989;0.390731
116;0.624789;0.484810;0.393942
117;0.629320;0.488621;0.397148
118;0.633831;0.492424;0.400349
119;0.638320;0.496217;0.403545
120;0.642788;0.500000;0.406737
121;0.647233;0.503774;0.409923
122;0.651657;0.507538;0.413104
123;0.656059;0.511293;0.416281
124;0.660439;0.515038;0.419452
125;0.664796;0.518773;0.422618
126;0.669131;0.522499;0.425779
127;0.673443;0.526214;0.428935
128;0.677732;0.529919;0.432086
129;0.681998;0.533615;0.435231
130;0.686242;0.537300;0.438371
131;0.690462;0.540974;0.441506
132;0.694658;0.544639;0.444635
133;0.698832;0.548293;0.447759
134;0.702981;0.551937;0.450878
135;0.707107;0.555570;0.453990
136;0.711209;0.559193;0.457098
137;0.715286;0.562805;0.460200
138;0.719340;0.566406;0.463296
139;0.723369;0.569997;0.466387
140;0.727374;0.573576;0.469472
141;0.731354;0.577145;0.472551
142;0.735309;0.580703;0.475624
143;0.739239;0.584250;0.478692
144;0.743145;0.587785;0.481754
145;0.747025;0.591310;0.484810
146;0.750880;0.594823;0.487860
147;0.754710;0.598325;0.490904
148;0.758514;0.601815;0.493942
149;0.762292;0.605294;0.496974
150;0.766044;0.608761;0.500000
151;0.769771;0.612217;0.503020
152;0.773472;0.615661;0.506034
153;0.777146;0.619094;0.509041
154;0.780794;0.622515;0.512043
155;0.784416;0.625923;0.515038
156;0.788011;0.629320;0.518027
157;0.791579;0.632705;0.521010
158;0.795121;0.636078;0.523986
159;0.798636;0.639439;0.526956
160;0.802123;0.642788;0.529919
161;0.805584;0.646124;0.532876
162;0.809017;0.649448;0.535827
163;0.812423;0.652760;0.538771
164;0.815801;0.656059;0.541708
165;0.819152;0.659346;0.544639
166;0.822475;0.662620;0.547563
167;0.825770;0.665882;0.550481
168;0.829038;0.669131;0.553392
169;0.832277;0.672367;0.556296
170;0.835488;0.675590;0.559193
171;0.838671;0.678801;0.562083
172;0.841825;0.681998;0.564967
173;0.844951;0.685183;0.567844
174;0.848048;0.688355;0.570714
175;0.851117;0.691513;0.573576
176;0.854156;0.694658;0.576432
177;0.857167;0.697790;0.579281
178;0.860149;0.700909;0.582123
179;0.863102;0.704015;0.584958
180;0.866025;0.707107;0.587785
181;0.868920;0.710185;0.590606
182;0.871784;0.713250;0.593419
183;0.874620;0.716302;0.596225
184;0.877425;0.719340;0.599024
185;0.880201;0.722364;0.601815
186;0.882948;0.725374;0.604599
187;0.885664;0.728371;0.607376
188;0.888350;0.731354;0.610145
189;0.891007;0.734323;0.612907
190;0.893633;0.737277;0.615661
191;0.896229;0.740218;0.618408
192;0.898794;0.743145;0.621148
193;0.901329;0.746057;0.623880
194;0.903834;0.748956;0.626604
195;0.906308;0.751840;0.629320
196;0.908751;0.754710;0.632029
197;0.911164;0.757565;0.634731
198;0.913545;0.760406;0.637424
199;0.915896;0.763232;0.640110
200;0.918216;0.766044;0.642788
201;0.920505;0.768842;0.645458
202;0.922762;0.771625;0.648120
203;0.924989;0.774393;0.650774
204;0.927184;0.777146;0.653421
205;0.929348;0.779884;0.656059
206;0.931480;0.782608;0.658689
207;0.933580;0.785317;0.661312
208;0.935650;0.788011;0.663926
209;0.937687;0.790690;0.666532
210;0.939693;0.793353;0.669131
211;0.941666;0.796002;0.671721
212;0.943609;0.798636;0.674302
213;0.945519;0.801254;0.676876
214;0.947397;0.803857;0.679441
215;0.949243;0.806445;0.681998
216;0.951057;0.809017;0.684547
217;0.952838;0.811574;0.687088
218;0.954588;0.814116;0.689620
219;0.956305;0.816642;0.692143
220;0.957990;0.819152;0.694658
221;0.959642;0.821647;0.697165
222;0.961262;0.824126;0.699663
223;0.962849;0.826590;0.702153
224;0.964404;0.829038;0.704634
225;0.965926;0.831470;0.707107
226;0.967415;0.833886;0.709571
227;0.968872;0.836286;0.712026
228;0.970296;0.838671;0.714473
229;0.971687;0.841039;0.716911
230;0.973045;0.843391;0.719340
231;0.974370;0.845728;0.721760
232;0.975662;0.848048;0.724172
233;0.976921;0.850352;0.726575
234;0.978148;0.852640;0.728969
235;0.979341;0.854912;0.731354
236;0.980500;0.857167;0.733730
237;0.981627;0.859406;0.736097
238;0.982721;0.861629;0.738455
239;0.983781;0.863836;0.740805
240;0.984808;0.866025;0.743145
241;0.985801;0.868199;0.745476
242;0.986762;0.870356;0.747798
243;0.987688;0.872496;0.750111
244;0.988582;0.874620;0.752415
245;0.989442;0.876727;0.754710
246;0.990268;0.878817;0.756995
247;0.991061;0.880891;0.759271
248;0.991820;0.882948;0.761538
